"items in your cart","Items en tu carrito"
"Extra Options","Opciones extra",module,Codazon_AjaxLayeredNavPro
"Custom Frontend Style","Estilo de frontend personalizado",module,Codazon_AjaxLayeredNavPro
"Skip SEO","Omitir SEO",module,Codazon_AjaxLayeredNavPro
Rating,Calificación,module,Codazon_AjaxLayeredNavPro
"Default Style","Estilo predeterminado",module,Codazon_AjaxLayeredNavPro
Slider,Deslizador,module,Codazon_AjaxLayeredNavPro
Dropdown,Menú desplegable,module,Codazon_AjaxLayeredNavPro
"Check Box","Casilla de selección",module,Codazon_AjaxLayeredNavPro
"Close all boxes","Cerrar todas las secciones",module,Codazon_AjaxLayeredNavPro
"Open first box","Abrir primera sección",module,Codazon_AjaxLayeredNavPro
"Open all boxes","Abrir todas las secciones",module,Codazon_AjaxLayeredNavPro
"Link - Up (score_min ≤ filtered value)","Link - Mayor (score_min ≤ valor filtrado)",module,Codazon_AjaxLayeredNavPro
"Link - Interval (score_min < filtered value ≤ score_max)","Link - Intervalo (score_min < valor filtrado ≤ score_max)",module,Codazon_AjaxLayeredNavPro
"Slider - Up (score_min ≤ filtered value)","Deslizador - Mayor (score_min ≤ valor filtrado)",module,Codazon_AjaxLayeredNavPro
"Slider - Interval (score_min < filtered value ≤ score_max)","Deslizador - Intervalo (score_min < valor filtrado ≤ score_max)",module,Codazon_AjaxLayeredNavPro
"1 star","1 estrella",module,Codazon_AjaxLayeredNavPro
"%1 < star ≤ %2","%1 < estrella ≤ %2",module,Codazon_AjaxLayeredNavPro
"%1 star and above","%1 estrella o más",module,Codazon_AjaxLayeredNavPro
"%1 stars and above","%1 estrellas o más",module,Codazon_AjaxLayeredNavPro
"Stock Status","Estado del stock",module,Codazon_AjaxLayeredNavPro
"Load previous","Cargar anteriores",module,Codazon_AjaxLayeredNavPro
"Load Next","Cargar siguientes",module,Codazon_AjaxLayeredNavPro
All,Todo,module,Codazon_AjaxLayeredNavPro
From,Desde,module,Codazon_AjaxLayeredNavPro
To,Hasta,module,Codazon_AjaxLayeredNavPro
"Apply filter","Aplicar filtro",module,Codazon_AjaxLayeredNavPro
Go,Ir,module,Codazon_AjaxLayeredNavPro
"and above","o más",module,Codazon_AjaxLayeredNavPro
"Now Shopping by","Estás comprando por",module,Codazon_AjaxLayeredNavPro
Previous,Anterior,module,Codazon_AjaxLayeredNavPro
Remove,Eliminar,module,Codazon_AjaxLayeredNavPro
"Remove This Item","Quitar este producto",module,Codazon_AjaxLayeredNavPro
"Shop By","Comprar por",module,Codazon_AjaxLayeredNavPro
"Clear All","Limpiar todo",module,Codazon_AjaxLayeredNavPro
"Shopping Options","Opciones de compra",module,Codazon_AjaxLayeredNavPro
Enabled,Habilitado,module,Codazon_Core
Disabled,Deshabilitado,module,Codazon_Core
1,1,module,Codazon_Core
2,2,module,Codazon_Core
3,3,module,Codazon_Core
4,4,module,Codazon_Core
Left,Izquierda,module,Codazon_Core
Center,Centro,module,Codazon_Core
Right,Derecha,module,Codazon_Core
Top,Superior,module,Codazon_Core
Bottom,Inferior,module,Codazon_Core
Middle,Medio,module,Codazon_Core
"Something went wrong while saving the file(s).","Algo salió mal al guardar los archivos.",module,Codazon_Core
"File can not be saved to the destination folder.","El archivo no se pudo guardar en la carpeta de destino.",module,Codazon_Core
"Something went wrong while getting the image url.","Algo salió mal al obtener la URL de la imagen.",module,Codazon_Core
Edit,Editar,module,Codazon_Core
Delete,Eliminar,module,Codazon_Core
"Are you sure you wan't to delete this record?","¿Estás seguro de que querés eliminar este registro?",module,Codazon_Core
[GLOBAL],[GLOBAL],module,Codazon_Core
[WEBSITE],[WEBSITE],module,Codazon_Core
"[STORE VIEW]","[VISTA DE TIENDA]",module,Codazon_Core
Back,Volver,module,Codazon_GoogleAmpManager
"Delete Google AMP Manager","Eliminar Google AMP Manager",module,Codazon_GoogleAmpManager
"Are you sure you want to do this?","¿Estás seguro de que querés hacer esto?",module,Codazon_GoogleAmpManager
Reset,Reiniciar,module,Codazon_GoogleAmpManager
"Save and Continue Edit","Guardar y continuar editando",module,Codazon_GoogleAmpManager
"Save Google AMP Manager","Guardar Google AMP Manager",module,Codazon_GoogleAmpManager
"View all %1","Ver todos los %1",module,Codazon_GoogleAmpManager
"You added %1 to your shopping cart.","Agregaste %1 a tu carrito.",module,Codazon_GoogleAmpManager
"The selected options are not available. Please select other options.","Las opciones seleccionadas no están disponibles. Por favor elegí otras.",module,Codazon_GoogleAmpManager
"Out of stock","Sin stock",module,Codazon_GoogleAmpManager
"Something went wrong with the subscription.","Algo salió mal con la suscripción.",module,Codazon_GoogleAmpManager
"This email address is already subscribed.","Este correo electrónico ya está suscrito.",module,Codazon_GoogleAmpManager
"The confirmation request has been sent.","Se envió la solicitud de confirmación.",module,Codazon_GoogleAmpManager
"Thank you for your subscription.","Gracias por suscribirte.",module,Codazon_GoogleAmpManager
"Invalid Form Key. Please refresh the page.","Form Key inválido. Por favor actualizá la página.",module,Codazon_GoogleAmpManager
"You submitted your review for moderation.","Enviaste tu reseña para moderación.",module,Codazon_GoogleAmpManager
"We can't post your review right now.","No podemos publicar tu reseña en este momento.",module,Codazon_GoogleAmpManager
Home,Inicio,module,Codazon_GoogleAmpManager
"Go to Home Page","Ir a la página de inicio",module,Codazon_GoogleAmpManager
1,1,module,Codazon_GoogleAmpManager
2,2,module,Codazon_GoogleAmpManager
3,3,module,Codazon_GoogleAmpManager
Description,Descripción,module,Codazon_GoogleAmpManager
Rating,Calificación,module,Codazon_GoogleAmpManager
Price,Precio,module,Codazon_GoogleAmpManager
"Add to cart","Agregar al carrito",module,Codazon_GoogleAmpManager
Thumbnail,Miniatura,module,Codazon_GoogleAmpManager
Edit,Editar,module,Codazon_GoogleAmpManager
Delete,Eliminar,module,Codazon_GoogleAmpManager
"Delete ""${ $.$data.title }""","Eliminar ""${ $.$data.title }""",module,Codazon_GoogleAmpManager
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","¿Estás seguro de que querés eliminar el registro ""${ $.$data.title }""?",module,Codazon_GoogleAmpManager
"Search entire store here ...","Buscá en toda la tienda aquí...",module,Codazon_GoogleAmpManager
Submit,Enviar,module,Codazon_GoogleAmpManager
"Open search pop up","Abrir buscador",module,Codazon_GoogleAmpManager
"Your cart","Tu carrito",module,Codazon_GoogleAmpManager
items,productos,module,Codazon_GoogleAmpManager
item,producto,module,Codazon_GoogleAmpManager
