"The Access Token is not valid.","El token de acceso no es válido.",module,Apptrian_FacebookPixel
"The API Version is not valid.","La versión de la API no es válida.",module,Apptrian_FacebookPixel
"Consent button selector is not valid.","El selector del botón de consentimiento no es válido.",module,Apptrian_FacebookPixel
"The content_category attribute code is not valid.","El código del atributo content_category no es válido.",module,Apptrian_FacebookPixel
"The content_name attribute code is not valid.","El código del atributo content_name no es válido.",module,Apptrian_FacebookPixel
"Cookie key is not valid.","La clave de la cookie no es válida.",module,Apptrian_FacebookPixel
"Cookie name is not valid.","El nombre de la cookie no es válido.",module,Apptrian_FacebookPixel
"Cookie value is not valid.","El valor de la cookie no es válido.",module,Apptrian_FacebookPixel
"Data Processing Options are not valid.","Las opciones de procesamiento de datos no son válidas.",module,Apptrian_FacebookPixel
"Data Processing Options for Country are not valid.","Las opciones de procesamiento de datos para el país no son válidas.",module,Apptrian_FacebookPixel
"Data Processing Options for State are not valid.","Las opciones de procesamiento de datos para la provincia no son válidas.",module,Apptrian_FacebookPixel
"The Event Name is not valid.","El nombre del evento no es válido.",module,Apptrian_FacebookPixel
"Mode 1","Modo 1",module,Apptrian_FacebookPixel
"Mode 2 (API Only)","Modo 2 (Solo API)",module,Apptrian_FacebookPixel
"The google_product_category attribute code is not valid.","El código del atributo google_product_category no es válido.",module,Apptrian_FacebookPixel
"Handles list is not valid.","La lista de handles no es válida.",module,Apptrian_FacebookPixel
"Product SKU as (id)","SKU del producto como (id)",module,Apptrian_FacebookPixel
"Product SKU as (id) and Parent SKU as (item_group_id)","SKU del producto como (id) y SKU padre como (item_group_id)",module,Apptrian_FacebookPixel
"Children SKUs as (id)s","SKUs hijos como (id)s",module,Apptrian_FacebookPixel
"Children SKUs as (id)s and Product SKU as (item_group_id)","SKUs hijos como (id)s y SKU del producto como (item_group_id)",module,Apptrian_FacebookPixel
"Product SKU as (id) (Not Recommended)","SKU del producto como (id) (No recomendado)",module,Apptrian_FacebookPixel
"Child SKU as (id)","SKU hijo como (id)",module,Apptrian_FacebookPixel
"Child SKU as (id) and Product SKU as (item_group_id)","SKU hijo como (id) y SKU del producto como (item_group_id)",module,Apptrian_FacebookPixel
"SKU (Recommended)","SKU (Recomendado)",module,Apptrian_FacebookPixel
"Product Parameters to Attributes Mapping is not valid.","El mapeo de parámetros de producto a atributos no es válido.",module,Apptrian_FacebookPixel
"Advanced Matching Parameters to Data Keys Mapping is not valid.","El mapeo de parámetros de coincidencia avanzada no es válido.",module,Apptrian_FacebookPixel
"The parameter name for Magento order ID is not valid.","El nombre del parámetro para el ID de pedido de Magento no es válido.",module,Apptrian_FacebookPixel
"The parameter name for Magento order increment ID is not valid.","El nombre del parámetro para el ID incremental de pedido no es válido.",module,Apptrian_FacebookPixel
"The parameter name is not valid.","El nombre del parámetro no es válido.",module,Apptrian_FacebookPixel
"Please correct Facebook Pixel ID: ""%1"".","Por favor corregí el ID de Facebook Pixel: ""%1"".",module,Apptrian_FacebookPixel
"The parameter name for Magento quote ID is not valid.","El nombre del parámetro para el ID de cotización no es válido.",module,Apptrian_FacebookPixel
"The request parameters option is not valid.","La opción de parámetros de solicitud no es válida.",module,Apptrian_FacebookPixel
"The Test Event Code is not valid.","El código de evento de prueba no es válido.",module,Apptrian_FacebookPixel
"Min Qty","Cant. Mín.",module,Bss_MinMaxQtyOrderPerCate
"Max Qty","Cant. Máx.",module,Bss_MinMaxQtyOrderPerCate
"Add Qty","Agregar Cant.",module,Bss_MinMaxQtyOrderPerCate
"Value of Min Qty can't larger Value of Max Qty","La cantidad mínima no puede ser mayor a la máxima",module,Bss_MinMaxQtyOrderPerCate
"Value of Min Qty or Max Qty can not be empty ","La cantidad mínima o máxima no pueden estar vacías ",module,Bss_MinMaxQtyOrderPerCate
"Duplicate Category vs Category and Customer Group vs Customer Group not allow.","No se permiten categorías o grupos de clientes duplicados.",module,Bss_MinMaxQtyOrderPerCate
"Category name(s): ","Nombre(s) de categoría: ",module,Bss_MinMaxQtyOrderPerCate
"Unable to save. Wrong type specified.","No se pudo guardar. Tipo especificado incorrecto.",module,Bss_Paymentshipping
"%1 options have been saved.","Se guardaron %1 opciones.",module,Bss_Paymentshipping
"Could not save with type: %1, website_id: %2, method: %3","No se pudo guardar tipo: %1, sitio: %2, método: %3",module,Bss_Paymentshipping
Success,Éxito,module,Bss_Paymentshipping
"You are not allowed to use '%1'","No tenés permiso para usar '%1'",module,Bss_Paymentshipping
"Current Scope","Alcance actual",module,Bss_Paymentshipping
". ' Methods'"," Métodos",module,Bss_Paymentshipping
"Este producto no se puede agregar al carrito porque no tiene un precio válido.","Este producto no se puede agregar al carrito porque no tiene un precio válido.",module,Custom_ValidPriceZero
"Intento de agregar producto con precio inválido","Intento de agregar producto con precio inválido",module,Custom_ValidPriceZero
"Se intentó agregar al carrito el producto ID: %1, SKU: %2, Tipo: %3, con price: %4 y final_price: %5 (<= 0).","Se intentó agregar al carrito el producto ID: %1, SKU: %2, Tipo: %3, con precio: %4 y precio final: %5 (<= 0).",module,Custom_ValidPriceZero
"Payment Verification complete.","Verificación de pago completa.",module,DrubuNet_Bancard
"Rollback complete.","Reversión (Rollback) completa.",module,DrubuNet_Bancard
"Cannot create an invoice.","No se puede crear una factura.",module,DrubuNet_Bancard
"Cannot create an invoice without products.","No se puede crear una factura sin productos.",module,DrubuNet_Bancard
Redirect,Redirigir,module,DrubuNet_Bancard
"Bancard Check","Verificación Bancard",module,DrubuNet_Bancard
"Bancard Rollback","Reversión Bancard",module,DrubuNet_Bancard
"Rating - Up","Calificación - O más",module,MageBig_AjaxFilter
"Rating - Interval","Calificación - Intervalo",module,MageBig_AjaxFilter
"%1 stars","%1 estrellas",module,MageBig_AjaxFilter
"from %1 stars","desde %1 estrellas",module,MageBig_AjaxFilter
"from %1 star","desde %1 estrella",module,MageBig_AjaxFilter
"Filter Style","Estilo de filtro",module,MageBig_AjaxFilter
x,x,module,MageBig_AjaxFilter
"& up","o más",module,MageBig_AjaxFilter
"I'm looking for...","Estoy buscando...",module,MageBig_AjaxSearch
"Something wrong, please try again","Algo salió mal, por favor intentalo de nuevo",module,MageBig_Ajaxcompare
"has been added to Comparison List","fue agregado a la lista de comparación",module,MageBig_Ajaxcompare
"View Comparison List","Ver lista de comparación",module,MageBig_Ajaxcompare
"You can't login right now.","No podés iniciar sesión en este momento.",module,MageBig_Ajaxwishlist
"Please log in before adding product to your Wish List.","Iniciá sesión antes de agregar productos a tu lista de deseos.",module,MageBig_Ajaxwishlist
"Log in","Iniciar sesión",module,MageBig_Ajaxwishlist
"has been added to your Wish List","fue agregado a tu lista de deseos",module,MageBig_Ajaxwishlist
"View Wish List","Ver lista de deseos",module,MageBig_Ajaxwishlist
"You have saved the configuration.","Guardaste la configuración.",module,MageBig_MbFrame
"Import Success.","Importación exitosa.",module,MageBig_MbFrame
"You have activated the theme.","Activaste el tema.",module,MageBig_MbFrame
Activated,Activado,module,MageBig_MbFrame
"Import Content","Importar contenido",module,MageBig_MbFrame
"The content will not be overwritten if they exist","El contenido no se sobrescribirá si ya existe",module,MageBig_MbFrame
"Import Blocks/Pages/Widgets","Importar Bloques/Páginas/Widgets",module,MageBig_MbFrame
Or,O,module,MageBig_MbFrame
