"The Access Token is not valid.","The Access Token is not valid.",module,Apptrian_FacebookPixel
"The API Version is not valid.","The API Version is not valid.",module,Apptrian_FacebookPixel
"Consent button selector is not valid.","Consent button selector is not valid.",module,Apptrian_FacebookPixel
"The content_category attribute code is not valid.","The content_category attribute code is not valid.",module,Apptrian_FacebookPixel
"The content_name attribute code is not valid.","The content_name attribute code is not valid.",module,Apptrian_FacebookPixel
"Cookie key is not valid.","Cookie key is not valid.",module,Apptrian_FacebookPixel
"Cookie name is not valid.","Cookie name is not valid.",module,Apptrian_FacebookPixel
"Cookie value is not valid.","Cookie value is not valid.",module,Apptrian_FacebookPixel
"Data Processing Options are not valid.","Data Processing Options are not valid.",module,Apptrian_FacebookPixel
"Data Processing Options for Country are not valid.","Data Processing Options for Country are not valid.",module,Apptrian_FacebookPixel
"Data Processing Options for State are not valid.","Data Processing Options for State are not valid.",module,Apptrian_FacebookPixel
"The Event Name is not valid.","The Event Name is not valid.",module,Apptrian_FacebookPixel
"Mode 1","Mode 1",module,Apptrian_FacebookPixel
"Mode 2 (API Only)","Mode 2 (API Only)",module,Apptrian_FacebookPixel
"The google_product_category attribute code is not valid.","The google_product_category attribute code is not valid.",module,Apptrian_FacebookPixel
"Handles list is not valid.","Handles list is not valid.",module,Apptrian_FacebookPixel
"Product SKU as (id)","Product SKU as (id)",module,Apptrian_FacebookPixel
"Product SKU as (id) and Parent SKU as (item_group_id)","Product SKU as (id) and Parent SKU as (item_group_id)",module,Apptrian_FacebookPixel
"Children SKUs as (id)s","Children SKUs as (id)s",module,Apptrian_FacebookPixel
"Children SKUs as (id)s and Product SKU as (item_group_id)","Children SKUs as (id)s and Product SKU as (item_group_id)",module,Apptrian_FacebookPixel
"Product SKU as (id) (Not Recommended)","Product SKU as (id) (Not Recommended)",module,Apptrian_FacebookPixel
"Child SKU as (id)","Child SKU as (id)",module,Apptrian_FacebookPixel
"Child SKU as (id) and Product SKU as (item_group_id)","Child SKU as (id) and Product SKU as (item_group_id)",module,Apptrian_FacebookPixel
"SKU (Recommended)","SKU (Recommended)",module,Apptrian_FacebookPixel
ID,ID,module,Apptrian_FacebookPixel
"Product Parameters to Attributes Mapping is not valid.","Product Parameters to Attributes Mapping is not valid.",module,Apptrian_FacebookPixel
"Advanced Matching Parameters to Data Keys Mapping is not valid.","Advanced Matching Parameters to Data Keys Mapping is not valid.",module,Apptrian_FacebookPixel
